taxid	length_gmean	width_gmean	volume_gmean	surface_gmean	length_amean	width_amean	volume_amean	surface_amean	shape	length_ranges	width_ranges	species	genus	family	order	class	phylum	superkingdom	source
39152	1.414213562373095	1.414213562373095	1.4809609793861214	6.283185307179585	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.0', ' 2.0']	['1.0', ' 2.0']	Methanococcus maripaludis	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Euryarchaeota	Archaea	bm1
39441	1.296148139681572	0.5	0.22177316862433769	2.035984736793852	1.2999999999999998	0.5	0.2225294796292769	2.042035224833365	rod	['1.2', ' 1.4']	['0.5', ' 0.5']	Methanobrevibacter arboriphilus	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
39664	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	1.3	1.3	1.1503465099894628	5.309291584566751	spherical	['0.6', ' 2.0']	['0.6', ' 2.0']	Methanohalophilus portucalensis	Methanohalophilus	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
39669	1.095445115010332	1.095445115010332	0.6882884651454569	3.7699111843077513	1.15	1.15	0.7963282878380625	4.1547562843725006	spherical	['0.8', ' 1.5']	['0.8', ' 1.5']	Methanosalsum zhilinae	Methanosalsum	Methanosarcinaceae	Methanosarcinales	Methanomicrobia	Euryarchaeota	Archaea	bm1
41675	0.948683298050514	0.948683298050514	0.4470564719608246	2.8274333882308142	1.15	1.15	0.7963282878380625	4.1547562843725006	spherical	['0.5', ' 1.8']	['0.5', ' 1.8']	Stygiolobus azoricus	Stygiolobus	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	bm1
43687	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	1.05	1.05	0.6061310326019806	3.463605900582747	spherical	['0.6', ' 1.5']	['0.6', ' 1.5']	Metallosphaera sedula	Metallosphaera	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	bm1
43776	1.0	0.3	0.0636172512351933	0.942477796076938	1.0	0.3	0.0636172512351933	0.942477796076938	rod	['1.0', ' 1.0']	['0.3', ' 0.3']	Haloarcula argentinensis	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
47304	0.9486832980505138	0.9486832980505138	0.4470564719608244	2.827433388230814	1.05	1.05	0.6061310326019806	3.463605900582747	spherical	['0.6', ' 1.5']	['0.6', ' 1.5']	Metallosphaera prunae	Metallosphaera	Sulfolobaceae	Sulfolobales	Thermoprotei	Crenarchaeota	Archaea	bm1
49340	5.974373322378632	0.3794733192202055	0.6583689310778912	7.122352692478563	8.725	0.38	1.0347756938443038	10.715972541394784	rod	['7.0', ' 20.0', '1.4', ' 6.5']	['0.4', ' 0.4', '0.36', ' 0.36']	Methanothermobacter thermoflexus	Methanothermobacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
49547	1.6	0.3400000000000001	0.13497748116393432	1.7090264035528475	1.6	0.34	0.1349774811639343	1.7090264035528475	rod	['1.6', ' 1.6']	['0.34', ' 0.34']	Methanobrevibacter curvatus	Methanobrevibacter	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
51589	0.7071067811865476	0.3	0.042913849583704505	0.666432440723755	0.75	0.3	0.0459457925587507	0.7068583470577035	rod	['0.5', ' 1.0']	['0.3', ' 0.3']	Haloarcula hispanica	Haloarcula	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota	Archaea	bm1
52001	2.7386127875258306	2.7386127875258306	10.754507267897766	23.561944901923454	7.75	7.75	243.72704881013937	188.69190875623696	spherical	['0.5', ' 15.0']	['0.5', ' 15.0']	Stetteria hydrogenophila	Stetteria	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
53426	40.0	3.872983346207417	456.0297280035679	486.69344111683364	40.0	4.0	485.8996637552213	502.6548245743669	spherical	['40.0', ' 40.0']	['3.0', ' 5.0']	Sulfophobococcus zilligii	Sulfophobococcus	Desulfurococcaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
54120	1.8708286933869709	1.414213562373095	2.198210349941688	8.31187288206608	2.25	1.5	3.0925052683774528	10.602875205865551	disk	['1.0', ' 3.5']	['1.0', ' 2.0']	Methanolacinia petrolearia	Methanolacinia	Methanomicrobiaceae	Methanomicrobiales	Methanomicrobia	Euryarchaeota	Archaea	bm1
54248	1.5	1.5	1.7671458676442586	7.0685834705770345	1.5	1.5	1.7671458676442586	7.0685834705770345	spherical	['1.5', ' 1.5']	['1.5', ' 1.5']	Hyperthermus butylicus	Hyperthermus	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
54252	1.3228756555322954	1.3228756555322954	1.2121481286346372	5.497787143782139	1.6	1.6	2.1446605848506324	8.042477193189871	spherical	['0.7', ' 2.5']	['0.7', ' 2.5']	Pyrolobus fumarii	Pyrolobus	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Crenarchaeota	Archaea	bm1
59277	0.848528137423857	0.12247448713915889	0.009515530424545601	0.32648388556215935	0.8999999999999999	0.125	0.0105333347434814	0.3534291735288516	rod	['0.6', ' 1.2']	['0.1', ' 0.15']	Methanobacterium subterraneum	Methanobacterium	Methanobacteriaceae	Methanobacteriales	Methanobacteria	Euryarchaeota	Archaea	bm1
