	Name	Shape	Length	Width	Diameter	Subspecies	File #	Notes	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
66	Methanogenium frittonii	spherical	1.0-2.5	1.0-2.5		No	9		1.5811388300841898	1.5811388300841898	1.75	1.75	2.0697058887075217	7.853981633974484	2.8061621879721326	9.62112750161874	[1.0, 2.5]	[1.0, 2.5]	[1.0, 2.5]	[1.0, 2.5]
67	Methanogenium organophilum	spherical	0.5-1.5	0.5-1.5		No	9		0.8660254037844387	0.8660254037844387	1.0	1.0	0.34008738079391587	2.3561944901923453	0.5235987755982988	3.141592653589793	[0.5, 1.5]	[0.5, 1.5]	[0.5, 1.5]	[0.5, 1.5]
68	Methanolacinia paynteri	rod	1.5-2.5	0.6		No	9		1.9364916731037085	0.6	2.0	0.6	0.4909814534918213	3.6502008083762507	0.5089380098815465	3.7699111843077517	[1.5, 2.5]	[0.6, 0.6]	[1.5, 2.5]	[0.6, 0.6]
69	Methanopianus funicola	disk	1-3.5	1.0-2.0		No	9		1.8708286933869707	1.414213562373095	2.25	1.5	2.198210349941688	8.311872882066082	3.0925052683774528	10.602875205865551	[1.0, 3.5]	[1.0, 2.0]	[1.0, 3.5]	[1.0, 2.0]
70	Methanopianus endosymbiosus	disk	1-3.5	1.0-2.0		No	9		1.8708286933869707	1.414213562373095	2.25	1.5	2.198210349941688	8.311872882066082	3.0925052683774528	10.602875205865551	[1.0, 3.5]	[1.0, 2.0]	[1.0, 3.5]	[1.0, 2.0]
71	Methanopianus petrolearius	disk	1-3.5	1.0-2.0		No	9		1.8708286933869707	1.414213562373095	2.25	1.5	2.198210349941688	8.311872882066082	3.0925052683774528	10.602875205865551	[1.0, 3.5]	[1.0, 2.0]	[1.0, 3.5]	[1.0, 2.0]
72	Methanocorpusculum parvum	spherical	1	1		No	9		1.0	1.0	1.0	1.0	0.5235987755982988	3.141592653589793	0.5235987755982988	3.141592653589793	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]
73	Methanocorpusculum bavaricum	spherical	0.2	0.2		No	9		0.2	0.2	0.2	0.2	0.004188790204786391	0.12566370614359174	0.004188790204786391	0.12566370614359174	[0.2, 0.2]	[0.2, 0.2]	[0.2, 0.2]	[0.2, 0.2]
74	Methanocorpusculum labreanum	spherical	0.4-2.0	0.4-2.0		No	9		0.8944271909999159	0.8944271909999159	1.2	1.2	0.37465678565550536	2.5132741228718345	0.9047786842338604	4.523893421169302	[0.4, 2.0]	[0.4, 2.0]	[0.4, 2.0]	[0.4, 2.0]
75	Methanocorpusculum sinense	spherical	0.2	0.2		No	9		0.2	0.2	0.2	0.2	0.004188790204786391	0.12566370614359174	0.004188790204786391	0.12566370614359174	[0.2, 0.2]	[0.2, 0.2]	[0.2, 0.2]	[0.2, 0.2]
76	Methanospirillwn hungateü	rod	7.4-10	0.4-0.5		No	9		8.602325267042628	0.447213595499958	8.7	0.45	1.32783404403308	12.085948251424982	1.3598187451522572	12.299335238804039	[7.4, 10.0]	[0.4, 0.5]	[7.4, 10.0]	[0.4, 0.5]
77	Methanocalculus halotolerans	spherical	0.8-1.0	0.8-1.0		No	9		0.8944271909999159	0.8944271909999159	0.9	0.9	0.37465678565550536	2.5132741228718345	0.3817035074111599	2.5446900494077327	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]	[0.8, 1.0]
78	Methanosarcina barkeri	spherical	1.5-2	1.5-2		No	10		1.7320508075688772	1.7320508075688772	1.75	1.75	2.720699046351326	9.424777960769378	2.8061621879721326	9.62112750161874	[1.5, 2.0]	[1.5, 2.0]	[1.5, 2.0]	[1.5, 2.0]
79	Methanosarcina acetivorans	spherical	1.5-2.5	1.5-2.5		No	10		1.9364916731037085	1.9364916731037085	2.0	2.0	3.802292508725261	11.780972450961725	4.1887902047863905	12.566370614359172	[1.5, 2.5]	[1.5, 2.5]	[1.5, 2.5]	[1.5, 2.5]
80	Methanosarcina acetivorans	spherical	1.0-3.0	1.0-3.0		No	10		1.7320508075688774	1.7320508075688774	2.0	2.0	2.720699046351327	9.424777960769381	4.1887902047863905	12.566370614359172	[1.0, 3.0]	[1.0, 3.0]	[1.0, 3.0]	[1.0, 3.0]
81	Methanosarcina thermophila	spherical	1.0-3.0	1.0-3.0		No	10		1.7320508075688774	1.7320508075688774	2.0	2.0	2.720699046351327	9.424777960769381	4.1887902047863905	12.566370614359172	[1.0, 3.0]	[1.0, 3.0]	[1.0, 3.0]	[1.0, 3.0]
82	Methanosarcina vacuolata	spherical	1.0-2.0	1.0-2.0		No	10		1.414213562373095	1.414213562373095	1.5	1.5	1.4809609793861214	6.283185307179585	1.7671458676442586	7.0685834705770345	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]	[1.0, 2.0]
83	Methanococcoides methylutens	spherical	0.8-1.8	0.8-1.8		No	10		1.2	1.2	1.3	1.3	0.9047786842338604	4.523893421169302	1.1503465099894628	5.3092915845667505	[0.8, 1.8]	[0.8, 1.8]	[0.8, 1.8]	[0.8, 1.8]
84	Methanococcoides burtonii	spherical	0.8-1.8	0.8-1.8		No	10		1.2	1.2	1.3	1.3	0.9047786842338604	4.523893421169302	1.1503465099894628	5.3092915845667505	[0.8, 1.8]	[0.8, 1.8]	[0.8, 1.8]	[0.8, 1.8]
85	Methanohalobium evestigatum	spherical	0.2-2	0.2-2		No	10		0.6324555320336759	0.6324555320336759	1.1	1.1	0.13246117687728134	1.2566370614359175	0.696909970321336	3.8013271108436504	[0.2, 2.0]	[0.2, 2.0]	[0.2, 2.0]	[0.2, 2.0]
86	Methanohalophilus mahü	spherical	1	1		No	10		1.0	1.0	1.0	1.0	0.5235987755982988	3.141592653589793	0.5235987755982988	3.141592653589793	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]	[1.0, 1.0]
87	Methanohalophilus halophilus	spherical	0.5-2.0	0.5-2.0		No	10		1.0	1.0	1.25	1.25	0.5235987755982988	3.141592653589793	1.0226538585904275	4.908738521234052	[0.5, 2.0]	[0.5, 2.0]	[0.5, 2.0]	[0.5, 2.0]
88	Methanohalophilus portucalensis	spherical	0.6-2.0	0.6-2.0		No	10		1.0954451150103321	1.0954451150103321	1.3	1.3	0.6882884651454569	3.7699111843077513	1.1503465099894628	5.3092915845667505	[0.6, 2.0]	[0.6, 2.0]	[0.6, 2.0]	[0.6, 2.0]
89	Methanolobus tindarius	spherical	0.8-1.25	0.8-1.25		No	10		1.0	1.0	1.025	1.025	0.5235987755982988	3.141592653589793	0.5638586127032866	3.3006357816777756	[0.8, 1.25]	[0.8, 1.25]	[0.8, 1.25]	[0.8, 1.25]
90	Methanolobus bombayensis	spherical	1-1.5	1-1.5		No	10		1.224744871391589	1.224744871391589	1.25	1.25	0.9619123726213977	4.712388980384689	1.0226538585904275	4.908738521234052	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]
91	Methanolobus oregonensis	spherical	1.0-1.5	1.0-1.5		No	10		1.224744871391589	1.224744871391589	1.25	1.25	0.9619123726213977	4.712388980384689	1.0226538585904275	4.908738521234052	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]	[1.0, 1.5]
92	Methanolobus taylorii	spherical	0.5-1.0	0.5-1.0		No	10		0.7071067811865476	0.7071067811865476	0.75	0.75	0.1851201224232653	1.5707963267948968	0.22089323345553233	1.7671458676442586	[0.5, 1.0]	[0.5, 1.0]	[0.5, 1.0]	[0.5, 1.0]
93	Methanolobus vulcani	spherical	0.8-1.25	0.8-1.25		No	10		1.0	1.0	1.025	1.025	0.5235987755982988	3.141592653589793	0.5638586127032866	3.3006357816777756	[0.8, 1.25]	[0.8, 1.25]	[0.8, 1.25]	[0.8, 1.25]
94	Methanosalsum zhilinae	spherical	0.8-1.5	0.8-1.5		No	10		1.0954451150103321	1.0954451150103321	1.15	1.15	0.6882884651454569	3.7699111843077513	0.7963282878380625	4.1547562843725006	[0.8, 1.5]	[0.8, 1.5]	[0.8, 1.5]	[0.8, 1.5]
