taxid	length	width	volume	surface	order	class	phylum	superkingdom	rank	node	genome	gc	proteins	coding	rrnas	MILC	ENCprime
txid795748	4.723156822715971	0.2719393264843193	0.2676846733101311	4.035099571200831	Ignavibacteriales	Ignavibacteria	Ignavibacteriae	Bacteria	order	N4155	3659310.0	36.805	3222.0	91.67330761175793	0.0	-0.08638767501879085	0.03941822494641685
txid871006	0.938083151964686	0.938083151964686	0.4322376870047302	2.764601535159018	Acidilobales	Thermoprotei	Crenarchaeota	Archaea	order	N1923	1486558.0	59.22	1569.0	90.28824557014444	1.0	-0.0361162835934513	0.01426591410193135
txid909929	6.9713266119873465	0.6916539965516129	2.512508887262527	15.147961536022189	Selenomonadales	Negativicutes	Firmicutes	Bacteria	order	N1117	2842195.0	49.769999999999996	2651.0	89.24709974261383	0.5	-0.339570230633954	0.155404539849929
txid1077263	2.7386127875258306	0.5916079783099616	0.6986065964643196	5.089961841984629	Chthonomonadales	Chthonomonadetes	Armatimonadetes	Bacteria	order	N1097	3437974.5	55.05	2881.0	90.80241446936553	2.0	-0.0496570155200027	0.02416262451536945
txid1100069	2.29128784747792	0.5	0.4171683933311191	3.5991465344481024	Bacteroidetes Order II. Incertae sedis		Bacteroidetes	Bacteria	order	N4160	3399024.0	64.3	2922.0	88.25895315831839	1.0	-0.07406713780603799	0.0278185874971129
txid1202465	0.65	0.15	0.01060287520586555	0.3063052837250048	Dehalococcoidales	Dehalococcoidia	Chloroflexi	Bacteria	order	N3634	1413462.0	47.22	1478.0	90.45778806440346	1.0	-0.159991300931323	0.0597820641366218
txid1240482	1.2884187516294856	0.6223329772884784	0.316426825999363	2.5190090301905097	Orbales	Gammaproteobacteria	Proteobacteria	Bacteria	order	N8333	2500996.0	34.98	2294.0	85.55473447997667	3.0	-0.3831386842315321	0.155526861140001
txid1485951	1.4168718272132783	0.5921666895600207	0.334240713099645	2.635872575340924	Desulfurobacteriales	Aquificae	Aquificae	Bacteria	order	N1617	1630516.0	39.0	1687.5	94.81724676667108	1.5	-0.214381620788166	0.08771977955929995
txid1643682	1.4581343067485213	1.0666142563460326	0.9569749454511076	4.886014876544574	Geodermatophilales	Actinomycetia	Actinobacteria	Bacteria	order	N3307	4914496.0	73.44	4703.5	90.7430963444236	1.0	-0.201293208864152	0.07528361035627909
txid1643683	10.000000000000002	0.4	1.2398819006167718	12.56637061435917	Acidothermales	Actinomycetia	Actinobacteria	Bacteria	order	G000015025	2443540.0	66.91	2200.0	90.2135017229102	1.0	-0.105380982045404	0.0437917442293465
txid1643684	1.2765575633606778	0.9061739875158198	0.6112775980078948	3.6341417835074807	Nakamurellales	Actinomycetia	Actinobacteria	Bacteria	order	N3309	5940579.0	69.93	5283.0	90.73247604542969	1.5	-0.22068691404095953	0.08491288247013365
txid1643686	4.69041575982343	0.28284271247461906	0.28878366994931715	4.167793630437727	Brachyspirales	Spirochaetia	Spirochaetes	Bacteria	order	N329	3074045.0	35.24	2868.0	89.13914819588496	1.0	-0.16584958155025598	0.08108926255307401
txid1643688	9.011631050735595	0.11607023265101213	0.09489156796879246	3.2860497208057797	Leptospirales	Spirochaetia	Spirochaetes	Bacteria	order	N232	4359608.0	40.215	3944.5	84.08229286582059	1.0	-0.1840202889965415	0.08853790849441025
txid1643822	1.1656633756096266	0.4687973630505341	0.171517696361738	1.7167544597557796	Eggerthellales	Coriobacteriia	Actinobacteria	Bacteria	order	N1312	2258678.5	59.855000000000004	1876.0	87.54102789883058	2.0	-0.42626431141096455	0.1506623799307795
txid1643946	1.7320508075688774	0.9082951062292476	0.9258406586480956	4.9423952586469815	Kosmotogales	Thermotogae	Thermotogae	Bacteria	order	N139	2235648.0	43.985	2118.5	90.67224116449073	2.0	-0.07288347138440465	0.03240584076454715
