Taxon	Count	Consistency
f__Rivulariaceae	1	1.000
f__Cellulomonadaceae	17	0.824
f__Rhodothermaceae	2	0.667
f__Myxococcaceae	4	1.000
f__Clostridiaceae	164	0.488
f__Glycomycetaceae	5	1.000
f__Methylothermaceae	2	1.000
f__Peptococcaceae	42	0.755
f__Caldilineaceae	1	1.000
f__Demequinaceae	2	1.000
f__Archaeoglobaceae	20	1.000
f__Anaerohalosphaeraceae	1	1.000
f__Akkermansiaceae	12	1.000
f__Methanoregulaceae	4	1.000
f__Thermosynechococcaceae	2	1.000
f__Tolypothrichaceae	3	0.333
f__Dermatophilaceae	6	1.000
f__Candidatus Methanomethylophilaceae	2	0.667
f__Rubritaleaceae	2	1.000
f__Geodermatophilaceae	10	1.000
f__Mesoaciditogaceae	1	1.000
f__Sterolibacteriaceae	5	0.600
f__Gordoniaceae	21	0.857
f__Hapalosiphonaceae	10	1.000
f__Nitrosomonadaceae	26	1.000
f__Azonexaceae	3	1.000
f__Candidatus Desulfofervidaceae	1	1.000
f__Flavobacteriaceae	212	0.967
f__Cuniculiplasmataceae	1	1.000
f__Cyanothecaceae	1	1.000
f__Merismopediaceae	9	0.889
f__Thermoanaerobacterales Family IV. Incertae Sedis	1	1.000
f__Brucellaceae	6	1.000
f__Candidatus Paracaedibacteraceae	3	1.000
f__Pleomorphomonadaceae	3	1.000
f__Desulfobulbaceae	11	0.688
f__Picrophilaceae	1	1.000
f__Leptospiraceae	27	1.000
f__Balneolaceae	5	0.833
f__Rhodovibrionaceae	3	1.000
f__Amorphaceae	2	0.500
f__Nitriliruptoraceae	1	1.000
f__Lentimicrobiaceae	1	1.000
f__Listeriaceae	23	1.000
f__Methermicoccaceae	1	1.000
f__Simkaniaceae	1	1.000
f__Coleofasciculaceae	6	0.333
f__Treponemataceae	28	1.000
f__Halobacteriovoraceae	1	1.000
f__Gottschalkiaceae	2	1.000
f__Ornithinimicrobiaceae	3	1.000
f__Defluviitaleaceae	1	1.000
f__Synergistaceae	23	0.957
f__Wenzhouxiangellaceae	1	1.000
f__Zymomonadaceae	8	1.000
f__Halomonadaceae	34	1.000
f__Desulfohalobiaceae	9	0.667
f__Natranaerobiaceae	1	1.000
f__Sulfuricellaceae	1	1.000
f__Acidothermaceae	1	1.000
f__Moritellaceae	2	1.000
f__Proteinivoraceae	1	1.000
f__Marivirgaceae	2	0.500
f__Legionellaceae	81	1.000
f__Coxiellaceae	11	0.909
f__Thermoanaerobacteraceae	20	0.545
f__Pelagibacteraceae	17	1.000
f__Xenococcaceae	1	1.000
f__Acaryochloridaceae	2	1.000
f__Staphylococcaceae	52	0.981
f__Sedimentisphaeraceae	2	1.000
f__Thiolinaceae	1	1.000
f__Anaplasmataceae	47	1.000
f__Spirulinaceae	2	1.000
f__Thiotrichaceae	14	0.429
f__Paludibacteraceae	3	1.000
f__Streptococcaceae	65	1.000
f__Actinospicaceae	1	1.000
f__Thermohalobacteraceae	4	1.000
f__Immundisolibacteraceae	1	1.000
f__Candidatus Nanosynbacteraceae	1	1.000
f__Methanococcaceae	9	1.000
f__Tepidamorphaceae	1	1.000
f__Nautiliaceae	3	1.000
f__Marinobacteraceae	16	1.000
f__Heliobacteriaceae	2	0.500
f__Geobacteraceae	14	0.688
f__Waddliaceae	2	1.000
f__Algiphilaceae	1	1.000
f__Balneatrichaceae	1	1.000
f__Syntrophomonadaceae	9	0.889
