	kingdom	phylum	class	order	family	genus	species
N1213							
N1214							
N1215							
N1216							
N1217							
N1218							
N1219							
N1220							
N1221							
N1222							
N1223							
N1224							
N1225							
N1226							
N1227							
N1229							
N1230							
N1231							
N1232							
N1233		Candidatus Roizmanbacteria					
N1234							
N1235							
N1236							
N1237							
N1238							
N1239		Candidatus Pacebacteria					
N1240							
N1241							
N1242							
N1243							
N1244							
N1245							
N1246							
N1247							
N1248							
N1249							
N1250							
N1252							
N1253							
N1254							
N1255							
N1256							
N1258							
N1259							
N1260		Candidatus Buchananbacteria					
N1261							
N1262							
N1263							
N1264							
N1265							
N1266							
N1267							
N1268							
N1269							
N1270							
N1271							
N1272							
N1273							
N1274							
N1275							
N1276							
N1277							
N1278							
N1279							
N1280							
N1281							
N1282							
N1283							
N1284							
N1285							
N1286		Candidatus Azambacteria					
N1287							
N1288		Candidatus Sungbacteria					
N1289							
N1290							
N1291							
N1292							
N1293							
N1294							
N1295							Prochlorococcus marinus
N1296							
N1297							
N1298							Synechococcus elongatus
N1299							
N1300							
N1301							
N1302							
N1303							
N1304			Anaerolineae				
N1305			Ktedonobacteria				
N1306							
N1307						Calidithermus	
N1308						Meiothermus	
N1309							
N1310							
N1311							
N1312				Eggerthellales	Eggerthellaceae		
N1313				Coriobacteriales			
N1314							
N1315							
N1316							
N1317							
N1318							
N1319							
N1320						Dialister	
N1321						Veillonella	
N1322						Megasphaera	
N1323							
N1324					Sporomusaceae		
N1325					Selenomonadaceae		
N1326					Tepidanaerobacteraceae	Tepidanaerobacter	
N1327					Thermosediminibacteraceae		
N1328					Thermoanaerobacterales Family III. Incertae Sedis	Caldicellulosiruptor	
N1329							
N1330							
N1331			Clostridia_1	Eubacteriales_1			
N1332							
N1333					Alicyclobacillaceae		
N1334							
N1335							
N1336							
N1337							Borrelia duttonii
N1338							
N1339							Borrelia hermsii
N1340							
N1341							
N1342							
N1343							
N1344							
N1345							
N1346							
N1347							
N1348							
N1349							
N1350							
N1351							
N1352							
N1353							
N1354							
N1355							
N1356							
N1357							
N1358							
N1359							
N1361							
N1362							
N1363		Candidatus Cloacimonetes					
N1365							
N1366							
N1367							
N1368							
N1369							
N1370							
N1371		Candidatus Calescamantes					
N1372		Aquificae	Aquificae				
N1373						Hippea	
N1374				Nautiliales	Nautiliaceae		
N1375				Campylobacterales			
N1377							
N1378							
N1379		Candidatus Aminicenantes					
N1380			Holophagae	Holophagales			
N1381							
N1382			Deltaproteobacteria_4				
N1383			Oligoflexia				
N1384							
N1385							
N1386				Holosporales_2	Holosporaceae	Holospora	
N1388							
N1389			Acidithiobacillia				
N1390							
N1391							
N1392							
N1393							
N1394							
N1395							
N1396							
N1397							
N1398							
N1399							
N1400						Staphylothermus	
N1401							
N1402							
N1403							
N1404						Metallosphaera	
N1405						Sulfuracidifex	
N1406							
N1408							
N1409							
N1410							
N1411							Methanobacterium formicicum
N1412						Candidatus Methanomethylophilus	
N1413							
N1414						Halogeometricum	
N1415						Haloquadratum	
N1416							
N1417							
N1418						Halostagnicola	
N1419							
N1420							Methanoculleus bourgensis
N1421							
N1422							Methanoculleus marisnigri
N1423							
N1424							
N1425							
N1426							
N1427							
N1428							
N1429							
N1430							
N1431							
N1432							
N1433							
N1434							
N1435							
N1436							
N1437							
N1438							
N1439							
N1440							
N1441							
N1442							
N1443							
N1444							
N1445							
N1446							
N1448							
N1449							
N1450							
N1451							
N1453							
N1454							
N1455							
N1456							
N1457							
N1458							
N1459							
N1460							
N1461							
N1462							
N1463							
N1464							
N1465							
N1466							
N1467							
N1468							
N1469							
N1470							
N1471							
N1472							
N1475							
N1476							
N1478							
N1479							
N1481							
N1482							
N1483							
N1484							
N1485							
N1486							
N1487							
N1488							
N1489							
N1490							
N1491		Candidatus Magasanikbacteria					
N1492		Candidatus Uhrbacteria					
N1493							
N1494							
N1495							
N1496							
N1497							
N1498							
N1499							
N1500		Candidatus Staskawiczbacteria					
N1503							
N1504							
N1505							
N1506							
N1507							
N1508							
N1509							
N1510							
N1511							
N1512							
N1513							
N1514							
N1515							
N1516							
N1517							
N1518						Cyanobium	
N1519							
N1520							
N1521							
N1522							
N1523							
N1524							
N1525				Synechococcales_5	Acaryochloridaceae	Acaryochloris	
N1526				Pseudanabaenales_3	Thermosynechococcaceae		
N1527				Pseudanabaenales_4	Pseudanabaenaceae_2	Limnothrix	
N1528							
N1529							
N1530							
N1532			Chloroflexia				
N1533							
N1534							
N1535				Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	
N1536				Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	
N1537							
N1538							
N1539							
N1540							
N1541							
N1542							
N1543							
N1544						Slackia	
N1545							
N1546					Coriobacteriaceae		
N1547					Atopobiaceae		
N1548							
N1549				Solirubrobacterales_2			
N1550			Acidimicrobiia	Acidimicrobiales			
N1551							
N1552							
N1553				Thermoanaerobacterales_2	Thermoanaerobacteraceae_2	Thermacetogenium	
N1554				Eubacteriales_9	Syntrophomonadaceae		
N1555							
N1556				Eubacteriales_4	Peptococcaceae_1		
N1557							
N1558							
N1559							
N1560							
N1561							
N1562							
N1563						Acidaminococcus	
N1564							
N1565							
N1566							
N1567							
N1568							
N1569							
N1570							
N1571							
N1572					Thermoanaerobacteraceae_1		
N1573			Clostridia_2	Eubacteriales_2	Clostridiaceae_1		
N1574							
N1575							
N1576							
N1577							
N1578							
N1579		Firmicutes_3	Bacilli_2	Bacillales_2			
N1581							
N1582							Leptospira noguchii
N1583							
N1584							
N1585							
N1586							
N1587							
N1588							
N1589							
N1590							
N1591						Alkalispirochaeta	
N1592							Treponema primitia
N1593							
N1594							
N1596							
N1597							
N1598							
N1599							
N1600							
N1601							
N1602		Planctomycetes					
N1603							
N1604		Chlamydiae	Chlamydiia				
N1605							
N1606							
N1607							
N1608							
N1609							
N1610							
N1611							
N1612							
N1613							
N1614							
N1615							
N1616							
N1617				Desulfurobacteriales	Desulfurobacteriaceae	Desulfurobacterium	
N1618				Aquificales			
N1619							
N1620							
N1621					Helicobacteraceae	Helicobacter	
N1622							
N1623							
N1624							
N1625							
N1626							
N1627					Holophagaceae		
N1628							
N1629							
N1630							
N1631							
N1632							
N1634		Nitrospirae_2	Nitrospira_2	Nitrospirales_2	Nitrospiraceae_2	Leptospirillum	
N1635							
N1636							
N1637							
N1638							
N1639				Acidithiobacillales	Acidithiobacillaceae		
N1640							
N1641			Gammaproteobacteria				
N1642							
N1643							
N1644							
N1645							
N1646							
N1647							
N1648				Desulfurococcales_2	Pyrodictiaceae		
N1649							
N1650						Acidianus	
N1651						Candidatus Aramenus	Candidatus Aramenus sulfurataquae
N1652							
N1653							
N1654							
N1656							
N1657							
N1658							
N1659							
N1660							
N1661							Haloquadratum walsbyi
N1662						Halorubrum	
N1663						Haloarcula	
N1664							
N1665							
N1666							
N1667						Methanolobus	
N1668						Methanococcoides	
N1669						Methanohalophilus	
N1670							
N1671							
N1672							
N1673							
N1674							
N1675							
N1676							
N1677							
N1678							
N1679							
N1680							
N1681							
N1682							
N1683							
N1684							
N1685							
N1687							
N1688							
N1689							
N1690							
N1691							
N1692							
N1693							
N1694							
N1695							
N1696							
N1697							
N1698							
N1699							
N1700							
N1701							
N1702							
N1703							
N1704							
N1705							
N1706							
N1708							
N1709							
N1710							
N1711							
N1712							
N1714							
N1715							
N1716							
N1717							
N1718							
N1720							
N1721							
N1723							
N1724							
N1725							
N1726							
N1727							
N1728							
N1729							
N1730							
N1732							
N1733							
N1734							
N1736							
N1737							
N1738							
N1739							
N1740							
N1741							
N1742							
N1743							
N1744							
N1745							
N1746							
N1747							
N1748							
N1749							
N1750							
N1751							
N1752							
N1753							
N1754							
N1755							
N1756							
N1757							
N1758							
N1759		Candidatus Ryanbacteria					
N1760							
N1762							
N1763							
N1764							
N1765							
N1766							
N1767							
N1768							
N1769							
N1770							
N1771							
N1772							
N1773							
N1774							
N1775							
N1776							
N1777							Chthonomonas calidirosea
N1778							
N1779				Herpetosiphonales	Herpetosiphonaceae		
N1780				Chloroflexales			
N1783							
N1784							
N1785							
N1786							
N1787							
N1788							
N1789							
N1790							
N1791							
N1792							
N1793							
N1794							
N1795							
N1796							
N1797							
N1798						Collinsella	
N1799							
N1800					Solirubrobacteraceae		
N1801					Patulibacteraceae		
N1802					Acidimicrobiaceae_1	Ferrimicrobium	
N1803							
N1804			Actinomycetia				
N1805							
N1806							
N1807							
N1808				Thermoanaerobacterales_4	Thermoanaerobacteraceae_4	Moorella	
N1809							
N1810							
N1812							
N1813							
N1814							
N1815							
N1816							
N1817						Phascolarctobacterium	
N1818							
N1819							
N1820							
N1821							
N1822						Megamonas	
N1823							
N1824							
N1825							
N1826							
N1827							
N1828							
N1829						Caldanaerobius	
N1830							
N1831							
N1832							
N1833			Clostridia_10	Eubacteriales_8	Eubacteriaceae		
N1834							
N1835					Christensenellaceae		
N1836							
N1838					Lachnospiraceae		
N1839							
N1840							
N1841							
N1842							
N1843		Firmicutes_1	Bacilli_1				
N1844							Leptospira santarosai
N1845							
N1846							
N1847							Leptospira kirschneri
N1848							Leptospira interrogans
N1849							
N1850							
N1851							
N1852							
N1853							
N1854							
N1855							
N1856							
N1857							
N1858							
N1859							
N1860							
N1861							
N1862			Candidatus Brocadiae	Candidatus Brocadiales			
N1863							
N1864		Lentisphaerae					
N1865		Verrucomicrobia					
N1866							
N1867				Chlamydiales	Chlamydiaceae	Chlamydia	
N1868							
N1869							
N1870							
N1871		Candidatus Pyropristinus				Candidatus Caldipriscus	
N1872							
N1873							
N1874							
N1875							
N1876		Fibrobacteres					
N1877							
N1878							
N1879							
N1880							
N1881							
N1882							
N1883					Hydrogenothermaceae		
N1884					Aquificaceae		
N1885							
N1886							
N1887							
N1888					Campylobacteraceae		
N1889							
N1891							
N1892							
N1893							
N1894							
N1895							
N1896				Myxococcales			
N1897				Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
N1898							
N1899		Candidatus Tectomicrobia					
N1900							
N1901							
N1902							
N1903							
N1904				Pelagibacterales	Pelagibacteraceae	Candidatus Pelagibacter	
N1905							
N1906							
N1907							
N1908							
N1909						Acidithiobacillus	
N1910							
N1911							
N1912							
N1913							
N1914							
N1915							
N1916							
N1917							
N1918							
N1919							Vulcanisaeta distributa
N1920						Desulfurococcus	
N1921							
N1922				Desulfurococcales_3	Desulfurococcaceae_2	Aeropyrum	
N1923				Acidilobales	Acidilobaceae		
N1924							
N1925						Saccharolobus	Saccharolobus solfataricus
N1926						Sulfolobus_2	Sulfolobus islandicus
N1929							
N1930							
N1931							
N1932							
N1933							
N1934							
N1936							
N1937							
N1938							
N1939							
N1940							Methanococcoides methylutens
N1941							
N1942							
N1943							
N1944							
N1945							
N1946							Methanosarcina mazei
N1947							
N1948							
N1950							
N1952							
N1953							
N1955							
N1956							
N1957							
N1958							
N1959							
N1960							
N1961							
N1962							
N1963							
N1964							
