taxid	length	width	volume	surface	shape	species	genus	family	order	class	phylum	superkingdom
1793	1.0	0.5	0.16362461737446832	1.5707963267948966	rods	Mycolicibacterium fallax	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1801	3.464101615137755	0.5	0.647449838112938	5.441398092702653	rods	Mycobacterium diernhoferi	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1810	2.0	0.6324555320336759	0.5620879422793179	3.9738353063184406	rods	Mycolicibacterium vaccae	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
1843	2.8284271247461903	0.6928203230275509	0.9792295356747652	6.156239184776946	rods	Nocardioides jensenii	Nocardioides	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2039	1.5811388300841898	0.223606797749979	0.05916417052329199	1.1107207345395915	rods	Tropheryma whipplei	Tropheryma	Tropherymataceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2041	0.7745966692414834	0.5	0.11936677687411675	1.2167336027920836	rods	Aeromicrobium erythreum	Aeromicrobium	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2045	1.7320508075688772	0.4472135954999579	0.24865385553166358	2.433467205584167	rods	Pimelobacter simplex	Pimelobacter	Nocardioidaceae	Propionibacteriales	Actinomycetia	Actinobacteria	Bacteria
2047	1.0	1.0	0.5235987755982988	3.1415926535897927	coccus	Rothia dentocariosa	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
2061	2.23606797749979	0.6324555320336759	0.6362508846654319	4.442882938158367	rods	Tsukamurella paurometabola	Tsukamurella	Tsukamurellaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
28045	2.549509756796392	0.3535533905932738	0.23872752741751607	2.831793349784744	rods	Mycobacterium celatum	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
28047	1.0908712114635717	0.6324555320336759	0.2764767099560147	2.167471267380155	coccus-bacilli	Mycolicibacterium confluentis	Mycolicibacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
28049	10.000000000000002	0.4	1.2398819006167718	12.566370614359172	rods	Acidothermus cellulolyticus	Acidothermus	Acidothermaceae	Acidothermales	Actinomycetia	Actinobacteria	Bacteria
28445	2.6	2.0	6.073745796940267	16.336281798666928	coccus-bacilli	Mycobacterium intermedium	Mycobacterium	Mycobacteriaceae	Corynebacteriales	Actinomycetia	Actinobacteria	Bacteria
